boycie;M
boyd;M
brad;M
bradan;M
brade;M
braden;M
bradford;M
bradley;M
bradly;M
bradney;M
brady;N
bradyn;M
braeden;M
bram;M
bran;M
brand;M
branden;M
brander;M
brandolf;M
brandon;M
brandtr;M
brandy;N
brandyn;M
branko;M
brannon;M
brant;M
brantley;M
braulio;M
braxton;M
bray;M
brayan;M
brayden;M
braydon;M
brazil;M
bren;N
brencis;M
brendan;M
brenden;M
brendin;M
brendis;M
brendon;M
brends;M
brennan;M
brennen;M
brent;M
bret;M
brett;N
brew;M
brewer;M
brewster;M
briac;M
brian;M
briano;M
briant;M
brice;M
brien;M
brig;M
brigg;M
briggs;M
brigham;M
brighton;M
brinley;M
brion;M
brisco;M
brit;N
britt;N
brix;M
brnaba;M
brnaby;M
brock;M
brockie;M
brocky;M
brod;M
broddie;M
broddy;M
broderic;M
broderick;M
brodie;M
brody;M
brogio;M
brok;M
bron;M
bronislaw;M
bronnie;M
bronny;M
bronson;M
brook;N
brooke;N
brooks;N
brose;M
bruce;M
brucie;M
bruis;M
brunello;M
brunhard;M
bruno;M
bryan;M
bryant;M
bryanty;M
bryce;M
brycen;M
bryn;N
bryon;M
bryson;M
buck;M
buckie;M
bucky;M
bud;M
budd;M
buddie;M
buddy;M
buiron;M
burak;M
burch;M
burckhard;M
burg;M
burgess;M
burghard;M
burgol;M
burian;M
burk;M
burkard;M
burkart;M
burke;M
burkhard;M
burkhardt;M
burkhart;M
burl;M
burlie;M
burnaby;M
burnard;M
burr;M
burt;M
burtie;M
burton;M
burty;M
buster;M
butch;M
butz;M
buz;M
byram;M
byran;M
byrann;M
byrle;M
byrom;M
byron;N
bábis;M
béla;M
bénédict;M
bílis;M
bülent;M
cad;M
caddric;M
cade;M
cadeo;M
caedmon;M
cael;M
caesar;M
caiaphas;M
caiden;M
cailan;M
cain;M
cainan;M
caius;M
cal;N
calder;M
caldwell;M
cale;M
caleb;M
calhoun;M
caligula;M
calimero;M
callan;M
callean;M
callisto;M
callum;M
calogero;M
calv;M
calvin;M
calvino;M
cam;N
camden;M
cameron;N
camey;M
camill;M
camille;N
camillo;M
cammy;N
campbell;M
camren;M
camulos;M
can;M
candidus;M
car;M
carce;M
care;M
carey;N
carl;M
carl-heinz;M
carleton;M
carlie;N
carlin;N
carling;M
carlo;M
carlos;M
carlton;M
carly;N
carlyle;M
carmelo;M
carmi;M
carmine;N
carney;M
carny;M
carolus;M
carpus;M
carr;M
carrick;M
carrol;M
carroll;N
carson;M
carsten;M
cart;M
carter;M
carver;M
cary;N
caryl;N
casar;M
case;M
casey;N
cash;M
casimir;M
casimiro;M
cason;M
caspar;M
casper;M
cass;N
cassidy;M
cassie;N
cassim;M
cassius;M
castor;M
cato;M
caton;M
cavan;M
cavit;M
cay;M
cayden;M
caylan;M
caz;M
cazzie;M
cchaddie;M
cebrail;M
cecco;M
cece;M
cecil;N
cecilio;M
cecilius;M
ced;M
cedric;M
cedrik;M
celal;M
celestino;M
celino;M
celio;M
cello;M
celso;M
cem;M
cemal;M
cemil;M
cengiz;M
cenk;M
cephas;M
cesar;M
cesare;M
cesarino;M
cesaro;M
cesbo;M
cetin;M
cevat;M
chad;N
chadd;M
chaddie;M
chaddy;M
chadwick;M
